TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-02 15:00:24,1770044424208,agencia-crm-saas-3x1bl5qug-flipols-projects.vercel.app/icon.png,GET,b4076698f618dbc1,200,fx8pr-1770044424208-21905a805c55,node,,production,main,HIT,static,/icon.png,agencia-crm-saas-3x1bl5qug-flipols-projects.vercel.app,agencia-crm-saas-3x1bl5qug-flipols-projects.vercel.app,dpl_95inDkQXXnAo7bFBw594YCB4dqte,17,sfo1,,,,prj_4lWcEkMJHXTC1JI2aKjee3xfrJyQ,,,,,
2026-02-02 15:00:23,1770044423939,agencia-crm-saas-3x1bl5qug-flipols-projects.vercel.app/icon.png,GET,b4076698f618dbc1,401,jhpjp-1770044423939-8958cfb7d526,vercel-favicon/1.0,,production,main,,static,/icon.png,agencia-crm-saas-3x1bl5qug-flipols-projects.vercel.app,agencia-crm-saas-3x1bl5qug-flipols-projects.vercel.app,dpl_95inDkQXXnAo7bFBw594YCB4dqte,1,sfo1,,,,prj_4lWcEkMJHXTC1JI2aKjee3xfrJyQ,,,,,
2026-02-02 15:00:23,1770044423922,agencia-crm-saas-3x1bl5qug-flipols-projects.vercel.app/icon.png,GET,b4076698f618dbc1,401,lgvqx-1770044423922-156c4f380cbd,vercel-favicon/1.0,,production,main,,static,/icon.png,agencia-crm-saas-3x1bl5qug-flipols-projects.vercel.app,agencia-crm-saas-3x1bl5qug-flipols-projects.vercel.app,dpl_95inDkQXXnAo7bFBw594YCB4dqte,5,sfo1,,,,prj_4lWcEkMJHXTC1JI2aKjee3xfrJyQ,,,,,
2026-02-02 15:00:24,1770044424030,agencia-crm-saas.vercel.app/api/cron/email-sync,GET,secret=aurie-maquina-2026,200,xnzgq-1770044423533-a3060b05357c,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),info,production,main,MISS,function,/api/cron/email-sync,agencia-crm-saas.vercel.app,agencia-crm-saas.vercel.app,dpl_95inDkQXXnAo7bFBw594YCB4dqte,,,,,[Sync] Iniciando sincronización global de emails via IMAP...,prj_4lWcEkMJHXTC1JI2aKjee3xfrJyQ,,,,,
2026-02-02 15:00:25,1770044425509,agencia-crm-saas.vercel.app/api/cron/email-sync,GET,secret=aurie-maquina-2026,200,xnzgq-1770044423533-a3060b05357c,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),error,production,main,MISS,function,/api/cron/email-sync,agencia-crm-saas.vercel.app,agencia-crm-saas.vercel.app,dpl_95inDkQXXnAo7bFBw594YCB4dqte,,,,,"(node:4) [DEP0005] DeprecationWarning: Buffer() is deprecated due to security and usability issues. Please use the Buffer.alloc(), Buffer.allocUnsafe(), or Buffer.from() methods instead.
(Use `node --trace-deprecation ...` to show where the warning was created)",prj_4lWcEkMJHXTC1JI2aKjee3xfrJyQ,,,,,
2026-02-02 15:00:35,1770044435902,agencia-crm-saas.vercel.app/api/cron/email-sync,GET,secret=aurie-maquina-2026,200,xnzgq-1770044423533-a3060b05357c,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),info,production,main,MISS,function,/api/cron/email-sync,agencia-crm-saas.vercel.app,agencia-crm-saas.vercel.app,dpl_95inDkQXXnAo7bFBw594YCB4dqte,,,,,[Sync] Sincronización completada. 0 correos nuevos notificados.,prj_4lWcEkMJHXTC1JI2aKjee3xfrJyQ,,,,,
2026-02-02 15:00:23,1770044423533,agencia-crm-saas.vercel.app/api/cron/email-sync,GET,secret=aurie-maquina-2026,200,xnzgq-1770044423533-a3060b05357c,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/cron/email-sync,agencia-crm-saas.vercel.app,agencia-crm-saas.vercel.app,dpl_95inDkQXXnAo7bFBw594YCB4dqte,12241,iad1,308,2048,,prj_4lWcEkMJHXTC1JI2aKjee3xfrJyQ,,,01KGFDWZHS9KN3A5YE6F9HJQNY,RkbKcTqK7eC1,1
2026-02-02 14:55:07,1770044107648,agencia-crm-saas.vercel.app/api/cron/email-sync,GET,secret=aurie-maquina-2026,200,9dd7g-1770044105394-aada03d4b58c,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),error,production,main,MISS,function,/api/cron/email-sync,agencia-crm-saas.vercel.app,agencia-crm-saas.vercel.app,dpl_95inDkQXXnAo7bFBw594YCB4dqte,,,,,"(node:4) [DEP0005] DeprecationWarning: Buffer() is deprecated due to security and usability issues. Please use the Buffer.alloc(), Buffer.allocUnsafe(), or Buffer.from() methods instead.
(Use `node --trace-deprecation ...` to show where the warning was created)",prj_4lWcEkMJHXTC1JI2aKjee3xfrJyQ,,,,,
2026-02-02 14:55:06,1770044106171,agencia-crm-saas.vercel.app/api/cron/email-sync,GET,secret=aurie-maquina-2026,200,9dd7g-1770044105394-aada03d4b58c,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),info,production,main,MISS,function,/api/cron/email-sync,agencia-crm-saas.vercel.app,agencia-crm-saas.vercel.app,dpl_95inDkQXXnAo7bFBw594YCB4dqte,,,,,[Sync] Iniciando sincronización global de emails via IMAP...,prj_4lWcEkMJHXTC1JI2aKjee3xfrJyQ,,,,,
2026-02-02 14:55:17,1770044117316,agencia-crm-saas.vercel.app/api/cron/email-sync,GET,secret=aurie-maquina-2026,200,9dd7g-1770044105394-aada03d4b58c,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),info,production,main,MISS,function,/api/cron/email-sync,agencia-crm-saas.vercel.app,agencia-crm-saas.vercel.app,dpl_95inDkQXXnAo7bFBw594YCB4dqte,,,,,[Sync] Sincronización completada. 0 correos nuevos notificados.,prj_4lWcEkMJHXTC1JI2aKjee3xfrJyQ,,,,,
